dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001337.jpg,0.29532522,0.37233692,0.3843219,0.26490468,0.34919226,0.46470383,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001338.jpg,0.023390405,0.020868678,0.052900225,0.026680965,0.04387968,0.02239367,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001342.jpg,0.37289456,0.5028439,0.48357695,0.5019313,0.5549257,0.39758748,True
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001344.jpg,0.38105565,0.3526079,0.37686545,0.33274555,0.39780736,0.33752096,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001348.jpg,0.32091653,0.35726523,0.4310354,0.40579826,0.45330882,0.4124341,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001356.jpg,0.25201213,0.35745764,0.38394046,0.30098695,0.39983955,0.5393648,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001359.jpg,0.31836605,0.3513881,0.4608218,0.5016577,0.46372125,0.3870725,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001362.jpg,0.35916555,0.54674876,0.5128486,0.43190178,0.49563643,0.4766539,True
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001365.jpg,0.25926366,0.2985003,0.36084336,0.36483735,0.42912716,0.23538719,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001369.jpg,0.3420121,0.4447193,0.4792289,0.33215398,0.42787763,0.45785838,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001372.jpg,0.3650718,0.36005476,0.4153502,0.33005098,0.44590384,0.35169074,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001396.jpg,0.2974704,0.25717458,0.34124875,0.30897453,0.36735928,0.3196221,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001397.jpg,0.28840128,0.311815,0.34953994,0.30240017,0.38442326,0.25411382,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001398.jpg,0.20857131,0.23502785,0.30867136,0.23898146,0.2618804,0.31817746,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001404.jpg,0.21857311,0.3142907,0.24363458,0.29878673,0.3051426,0.23328964,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001405.jpg,0.43236747,0.48267093,0.49964726,0.39937523,0.45555338,0.44414178,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001408.jpg,0.3453405,0.28365162,0.35806975,0.31136012,0.3750673,0.23839703,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001410.jpg,0.411547,0.3995175,0.43062612,0.3951169,0.52765214,0.30418265,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001412.jpg,0.24428415,0.2505994,0.39380968,0.2307574,0.27115577,0.25561312,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001419.jpg,0.18152137,0.18818185,0.30924776,0.18000978,0.24768585,0.5374688,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001420.jpg,0.22382164,0.28843737,0.332853,0.30327272,0.38232994,0.22294196,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001425.jpg,0.30119583,0.34227133,0.39131448,0.33513403,0.45575404,0.29915956,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001426.jpg,0.123253405,0.1325668,0.26024985,0.13732398,0.28854558,0.24028447,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001437.jpg,0.189364,0.17041713,0.23595668,0.19153136,0.25080845,0.12054388,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001440.jpg,0.22746538,0.2859865,0.3109259,0.28262764,0.35499164,0.28748956,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001441.jpg,0.2245597,0.25361103,0.2443991,0.1776636,0.2199848,0.17345864,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001444.jpg,0.264593,0.30633616,0.36556888,0.2819224,0.33866653,0.36250037,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001447.jpg,0.08913351,0.115757376,0.19282426,0.14131498,0.11956878,0.08801995,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001454.jpg,0.26530486,0.30911434,0.40423152,0.37539202,0.41202778,0.21987604,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001459.jpg,0.093343265,0.11593826,0.20047733,0.13444021,0.14573601,0.106311694,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001472.jpg,0.3285734,0.46942568,0.42637965,0.36540073,0.44096518,0.3752765,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001475.jpg,0.15041408,0.18753266,0.279826,0.22686124,0.2669798,0.20267698,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001477.jpg,0.17513108,0.19645172,0.26215684,0.20438078,0.2417086,0.16449988,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001491.jpg,0.26814294,0.30756575,0.3601792,0.22128011,0.3354907,0.4372372,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001503.jpg,0.15626657,0.15249744,0.25205526,0.1260624,0.2529949,0.18981196,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001510.jpg,0.18691921,0.32694215,0.27274087,0.1739628,0.24248776,0.28958035,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001519.jpg,0.33933604,0.32762054,0.39275828,0.46446484,0.45293885,0.33698928,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001525.jpg,0.2685127,0.2526661,0.27996814,0.3079307,0.30440837,0.33579788,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001542.jpg,0.24884367,0.30024385,0.41872048,0.2550288,0.31887764,0.36821893,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001551.jpg,0.2889952,0.29545492,0.35482097,0.28536755,0.3979709,0.2421463,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001563.jpg,0.10622785,0.17914033,0.2228488,0.15985133,0.19549218,0.33089405,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001567.jpg,0.38671204,0.35780436,0.46393174,0.34528783,0.43549094,0.4032494,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001568.jpg,0.2976768,0.30510727,0.36389586,0.31868407,0.40967065,0.32048428,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001573.jpg,0.19543278,0.1950866,0.27315754,0.15788627,0.37991858,0.24971735,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001578.jpg,0.24314763,0.2410379,0.33970222,0.3046109,0.37397933,0.17862609,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001580.jpg,0.22545299,0.2132056,0.22006428,0.15856043,0.23402363,0.24660063,False
